created_at,id,full_text,lang,retweet_count,favorite_count
Wed May 20 17:47:48 +0000 2020,1263164535613128704,"Apoio é tudo, mores.  Ele é político autoritário em uma democracia. Sim, presta atenção nas ações dele. Temos um cenário perfeito para um ""golpe"", ""autogolpe"" ou sei lá o que ele quer - talvez sua ""nova democracia personalizada by bozo. (pseudo ideia de liberdade pipipipopopo)+",pt,0,4
Wed May 20 17:47:47 +0000 2020,1263164533889208320,"Ele faz de TUDO p/ que alguém tente-o barrar e ele comece sua ""revolução"" com sua galerinha da pesada. Tá brincando com todo mundo. As instituições democráticas sabem disso e fazem declarações PÚBLICAS sobre a inconstitucionalidade de suas ações afim de que mude a opinião pública",pt,0,4
Wed May 20 17:47:47 +0000 2020,1263164532089905152,"Para mostrar que tem apoio. Sem contar suas relações amorosas com milicianos + militares + empresários. Ele quer CAOS. São ministroS demitidos, gente morrendo, auxílio que não sai, discursos polêmicos, ações irresponsáveis +",pt,0,4
Wed May 20 17:47:47 +0000 2020,1263164530395357184,"E com isso faz sua trajetória do herói: o moço do povo, que fala o que quer, não tem medo de ninguém e que sempre tem inimigos - aqui podemos citar o misterioso atentado, a imprensa, o Congresso, STF... quem não gosta de herói? Ele consegue levar gente às ruas em meio a pandemia+",pt,0,5
Wed May 20 17:47:46 +0000 2020,1263164528453398531,"Por que não aceitam o impeachment contra Bolsonaro? The thread (sempre quis falar isso kk)
Ele PRECISA que isso ocorra para provar de vez que ""seus inimigos o impedem de governar"". Repreender Bolsonaro pode aumentar o ódio das pessoas que o apoiam. Ele é uma verdadeira epopeia +",pt,0,9
Wed May 20 12:20:20 +0000 2020,1263082125282115589,O Woodstock da nossa geração é a rave.,pt,10,0
Wed May 20 00:28:52 +0000 2020,1262903080963772416,@ohsilvestri EU MESMA,pt,0,1
Tue May 19 23:09:18 +0000 2020,1262883057847197696,@suheeday Atrasos justossss,es,0,1
Tue May 19 23:09:06 +0000 2020,1262883004852076546,@beckdabeck !!!,und,0,0
Mon May 18 19:06:18 +0000 2020,1262459513849950209,"Gente, eu não entendo a lógica do LinkedIn. Você posta tudo o que você faz? Porque parece tá todo mundo produzindo muito o tempo todo.",pt,0,1
Mon May 18 19:02:51 +0000 2020,1262458649164820480,"@hobispierre Mulher fura quarentena para ler série mitológica, veja abaixo",pt,0,1
Mon May 18 12:45:46 +0000 2020,1262363751627571200,@hobispierre Baby?,en,0,0
Mon May 18 12:45:11 +0000 2020,1262363603501539329,"@hobispierre Aniga, EU queria tanto reler 😔😔😔 mas todos meus livros dessa fase estão na minha mãe",pt,0,1
Fri May 15 18:50:24 +0000 2020,1261368351407763456,@suheeday Foco na sacolinha no cabelo,pt,0,1
Fri May 15 12:02:34 +0000 2020,1261265715761500161,"Se é antes das 11 e a Ana acordou eu SEMPRE penso: é a gastrite que fez essa princesa levantar, não é Ana???",pt,0,2
Thu May 14 16:06:32 +0000 2020,1260964722901483521,"Esse cachorro me representa em todos os sentidos, até nas pintinhas pelo corpo. https://t.co/tmdHwYt5mn",pt,0,4
Thu May 14 13:34:30 +0000 2020,1260926463009648645,"@JornalOGlobo Pipipi popopo o tal do ""livre mercado""",pt,0,0
Thu May 14 13:31:10 +0000 2020,1260925623205195776,Faz 2 horas que estou acordada e queria brigar com muita gente. Os motivos? PANDEMIA e tudo que a envolve.,pt,0,3
Wed May 13 19:01:16 +0000 2020,1260646307359645696,"@azarath__ Eu amooo essa discussão hahah mas preciso fazer uma breve pontuação pois seu tt está omitindo informações - alá jornalistando - enfim kkk mas a gnt tbm ganhou a gincana física e a de fantasia, além da dança ""roubada"". não briga cmg eu sou inteligente e bonitah aaa😔😔🙏🏻",pt,0,0
Wed May 13 18:54:01 +0000 2020,1260644485651808257,@lgmmoretto Eu tô me deliciando com a Piauí durante a quarentena 🙏🏻🙏🏻🙏🏻,pt,0,1
Wed May 13 18:53:25 +0000 2020,1260644332618477568,@Kimcorrea06 Quero verrr,es,0,1
Wed May 13 18:51:24 +0000 2020,1260643824474353664,@_sayurao @ellen_sayuri Aaah vdd!,es,0,0
Wed May 13 13:24:00 +0000 2020,1260561435412828160,"@_sayurao @ellen_sayuri Meu deus! As duas se conhecem, tem o mesmo nome e reclamam pela mesma coisa 😲😲😲",pt,0,0
Wed May 13 13:21:53 +0000 2020,1260560900383281152,RT @BichinhosFB: Esse sou eu usando Omega 3 https://t.co/gLTIdjmAJz,pt,0,0
Tue May 12 23:42:15 +0000 2020,1260354632309706752,Com cafezin do momento https://t.co/mj2ZOlOIIv,pt,0,3
Tue May 12 23:37:31 +0000 2020,1260353440926105607,@allorarafa São marcas que não cumprem com o requisito básico???,pt,0,1
Tue May 12 15:42:03 +0000 2020,1260233786844950528,"Não aguento ver 10 em cada 11 publicações e ter a palavra ""Bolsonaro"" no meio. Vai se fuder seu pauta-bomba do carajo. Sério, hard news eh toxica e é tudo o que ele precisa e quer.",pt,0,4
Mon Feb 10 13:47:18 +0000 2020,1226865225028296709,"@ohsilvestri nãaao, colocamos essas roupas no portão de casa para doação",pt,0,1
Mon Feb 10 11:31:52 +0000 2020,1226831141665230848,@piranhadogta joão bidu  veja isto,pt,0,0
Mon Feb 10 02:15:55 +0000 2020,1226691234602921984,"Eu: nossa, que camiseta bonita parece uma que eu tinha

Eu dois minutos dps: meu deus é a minha camiseta, minha calça, as bermudas da midori https://t.co/UMQtLxDXtn",pt,0,1
Mon Feb 10 02:13:13 +0000 2020,1226690552139276288,E hoje na feira do rolo que eu encontrei umas roupas que eram MINHAS,pt,0,3
Fri Feb 07 13:11:02 +0000 2020,1225768936957992967,comprei minha tacinha pra tomar meus vinhos 🥰,pt,0,2
Fri Feb 07 01:13:34 +0000 2020,1225588378227421185,@lgmmoretto Ain Luis vc eh tudo pra mim,pt,0,0
Thu Feb 06 14:57:03 +0000 2020,1225433225415348224,"RT @veraholtzirreal: - amiga, você chapou?
- não

10 minutos depois: https://t.co/Yuckh6qIPZ",pt,0,0
Wed Feb 05 15:55:00 +0000 2020,1225085423006945280,@choosebooks só os pinguço on nesse curso,pt,0,1
Wed Feb 05 15:53:27 +0000 2020,1225085032622100482,@bytolinhaa deus tenha dó dessa menina ela n sabe o que fala,pt,0,0
Tue Feb 04 21:42:11 +0000 2020,1224810404758638595,"Nos dias tristes, compre cerveja e carolina e tudo ficará bem.",pt,0,3
Tue Feb 04 16:50:35 +0000 2020,1224737023942184960,@ohsilvestri Interessante,pt,0,1
Mon Feb 03 16:33:51 +0000 2020,1224370424445833216,@_beatoledo Sentinela me lembra mimprensa 2018,pt,0,0
Sat Feb 01 16:55:53 +0000 2020,1223651191437045760,Puta que pariu essa sala tá um brinco de limpa,pt,0,1
Sat Feb 01 03:02:10 +0000 2020,1223441379763855363,@filmedetubarao 😦,und,0,0
Fri Jan 31 22:42:50 +0000 2020,1223376116477497351,@goghschild 🥰🥰🥰,und,0,0
Fri Jan 31 21:47:36 +0000 2020,1223362218642812930,i'm gonna cuttttt mentira https://t.co/dIT7LQiO0N,en,0,6
Fri Jan 31 19:51:21 +0000 2020,1223332964458737668,"Eu mesma, a própria piranha do Sesc",pt,0,3
Fri Jan 31 13:20:38 +0000 2020,1223234634818912256,"Fazer a revistas salmos e anjos, pra mim, eh refazer todos os dias a catequese que fiz de forma xexelenta aos 13 anos",pt,0,5
Thu Jan 30 23:47:41 +0000 2020,1223030052490829825,🥰🥰🥰,und,0,0
Thu Jan 30 17:24:38 +0000 2020,1222933654328004609,@allorarafa Tinder veja isto,pt,0,0
Thu Jan 30 11:01:01 +0000 2020,1222837114506792960,sei lá. o jeito que a editora tora o ar condicionado no meu cu é diferente.,pt,0,3
Wed Jan 29 00:07:51 +0000 2020,1222310350814662657,"@teenagedirtbez amiga, onde?",pt,0,0
Tue Jan 28 23:57:06 +0000 2020,1222307644117082118,@piranhadogta pra ver o resto da perfeição ✌️😗,pt,0,0
Tue Jan 28 14:25:14 +0000 2020,1222163729082548225,@mieiraviranda eu mesma,pt,0,0
Mon Jan 27 14:41:16 +0000 2020,1221805377039273989,@piranhadogta beleza oculta,pt,0,0
Mon Jan 27 11:28:43 +0000 2020,1221756921654513665,já falei com os babys para corrigir iti,pt,0,0
Mon Jan 27 11:08:03 +0000 2020,1221751716900745223,"pra quem não sabe, tá errado tá",pt,0,0
Sun Jan 26 17:28:44 +0000 2020,1221485133766778880,freelancer = escravo moderno,pt,0,2
Sun Jan 26 01:00:39 +0000 2020,1221236472126361602,"Quando eu e a Midori subimos na moto em direção a Ribeirão Preto (220 km) parecia tudo lindo. O rolê foi lindo, várias paisagens, aventuras e vimos apenas 3 motos nesse trajeto: uma bem grandona, chic; uma 125 bem devagar e uma acidentada na estrada.",pt,0,4
Fri Jan 24 11:26:41 +0000 2020,1220669245899624448,"@folha folha, melhore com essa manchete",pt,0,0
Fri Jan 24 11:25:47 +0000 2020,1220669020086710272,"""Por que ele foi para o Inferno? Foi matar o Satanás?"" - VITORIANO, Melissa 2019",pt,0,0
Tue Jan 21 13:29:05 +0000 2020,1219612884432498688,"@julianluiza amiga, pq vc n pede em namoro?",pt,0,0
Tue Jan 21 01:01:40 +0000 2020,1219424788768284673,RT @teenagedirtbez: “bixos jornalismo 2020” https://t.co/2UaBOCQ5nP,pt,0,0
Mon Jan 20 19:17:02 +0000 2020,1219338061064101888,"""Ain, amiga! Certeza que o mamilo dela é rosa"" 

""Ain, eu queria ver"" - VOTORIANO, Melissa 2019",pt,0,0
Sat Jan 18 12:44:38 +0000 2020,1218514533595127808,"@piranhadogta Puts, tarde dms",en,0,0
Fri Jan 17 22:33:25 +0000 2020,1218300318439682048,Como que se arruma para um date sem parecer uma pedreira mesmo?,pt,0,2
Fri Jan 17 22:33:08 +0000 2020,1218300248914874368,"@julianluiza Magina, miga! Arrasa",es,0,0
Fri Jan 17 13:56:55 +0000 2020,1218170338581843971,"@julianluiza Sim, em sites como 99freelas, workana, nearjob e assim vai... No começo é bem difícil, fazer preços baixos e tal, mas depois você constrói experiência/nome",pt,0,0
Thu Jan 16 15:35:07 +0000 2020,1217832663559671808,@bytolinhaa eu mesma a primeira leitora dessa matéria,pt,0,0
Thu Jan 16 00:10:06 +0000 2020,1217599875061288960,@keepemoalivee @taynacco Amigo pergunta pra ela se é com a jóia já pfvore,pt,0,0
Wed Jan 15 23:06:36 +0000 2020,1217583892594659328,@_vitorsoares__ 5 anos porque era só ver a embalagem da pasta de dente que tinha muitas frutas na propaganda,pt,0,1
Wed Jan 15 22:57:47 +0000 2020,1217581675313606658,Consegui!,pt,0,0
Wed Jan 15 22:57:37 +0000 2020,1217581631738982402,Falhei,pt,0,0
Wed Jan 15 14:35:01 +0000 2020,1217455151432261633,"no momento, tentando não chorar ao assistir a abertura das olimpíadas do brasil enquanto trabalho editando horóscopo",pt,0,2
Wed Jan 15 03:22:58 +0000 2020,1217286023673253888,Vou todos os dias na loja até ficar por 50 conto,pt,0,0
Wed Jan 15 00:50:15 +0000 2020,1217247590556884992,Estou tão tlisti alguém me dá esse vestidinho https://t.co/mEy7jLPVnm,pt,0,6
Tue Jan 14 13:58:36 +0000 2020,1217083596172877824,"@allorarafa melhor não, amiga",pt,0,0
Tue Jan 14 13:58:20 +0000 2020,1217083531798642689,"meta: responder todas as pessoas em plataformas digitais hoje. eu posso, eu não quero tanto, mas eu consigo.",pt,0,3
Mon Jan 13 16:50:16 +0000 2020,1216764411379056642,@teenagedirtbez amiga vamos na batista comprar,pt,0,0
Mon Jan 13 14:55:16 +0000 2020,1216735468479488001,"Hoje escrevo sobre Umbanda, então: vocês sabiam que há uma falange de espíritos Zé Pelintra que é homossexual e transformista? Conhecida como Madame Satã, João Francisco dos Santos era um ícone boêmio da primeira metade do século XX.",pt,0,2
Sun Jan 12 12:07:32 +0000 2020,1216330872217120769,"@lilicarepiloc Lilian é humilde 😜😜😜😜, vem de ônibus pela experiência, foda unespiana rica ein",pt,0,0
Sun Jan 12 12:03:22 +0000 2020,1216329822097608705,@piranhadogta Espero que não seja por muito kk,pt,0,0
Sun Jan 12 03:12:24 +0000 2020,1216196199352586240,Errata: tinha um,pt,0,0
Sun Jan 12 03:07:14 +0000 2020,1216194898862444544,Um mano que eu peguei postou um stories com os amigos E NÃO TINHA UM que eu não tinha pegado... k,pt,0,3
Sun Jan 12 02:46:05 +0000 2020,1216189578501115908,@filmedetubarao Quem vive acha amiga???? Conecte comigo,pt,0,0
Sun Jan 12 02:43:59 +0000 2020,1216189047338684416,@mieiraviranda A era xiaomi chegou????,pt,0,0
Sat Jan 11 16:41:03 +0000 2020,1216037315296079872,@maekawajoao Amém amigo que Deus te abençoe,pt,0,1
Sat Jan 11 14:32:53 +0000 2020,1216005060985073664,@topssissimo A falta de noção aqui em casa anda a 190km por hora,pt,0,0
Thu Jan 09 23:32:23 +0000 2020,1215416056191311874,"Comprei um vestido de galaaaaa por 20 reais, fiquei um nojoooo",pt,0,4
Thu Jan 09 02:04:55 +0000 2020,1215092054889586689,"Quero publicar que estou triste, mas a real e que é só falta de dinheiro",pt,0,1
Wed Jan 08 23:18:32 +0000 2020,1215050183274307588,@mieiraviranda Eu ameii,pt,0,0
Tue Jan 07 18:01:30 +0000 2020,1214608008031997953,@_beatoledo Amiga! Fiz uma matéria sobre isso hoje hahahahah coincidência,pt,0,1
Tue Jan 07 18:00:28 +0000 2020,1214607749180526599,@_beatoledo Surtoooooo,pt,0,1
Tue Jan 07 13:59:15 +0000 2020,1214547046012739592,"estou fazendo uma matéria sobre ciúme e eu escrevo essa frase de diversas formas: está na hora de repensar o relacionamento, né? Não é legal nem saudável ficar com alguém que está te fazendo mal.

Mas eu queria escrever: mate o homem e jogue no rio",pt,0,4
Tue Jan 07 13:55:58 +0000 2020,1214546218669527040,@hobispierre amiga onde faz isso,pt,0,0
Mon Jan 06 15:30:29 +0000 2020,1214207617817554944,@lgmmoretto Hahahaha eu sempre acreditei em signos das cidades,pt,0,0
Mon Jan 06 11:18:10 +0000 2020,1214144121348096000,@allorarafa Puts miga,pt,0,1
Sun Jan 05 18:32:42 +0000 2020,1213891087300997120,Não me leve a sério porque eu uso o Tinder para pegar indicações músicas,pt,0,3
Sun Jan 05 17:39:39 +0000 2020,1213877735967412224,@Kimcorrea06 Amiga q estranho,pt,0,1
Sun Jan 05 13:38:50 +0000 2020,1213817131231580161,Voltando hoje pra Bauru e pensando nas 345 mil horas que terei que cumprir no estágio...,pt,0,0
Sun Jan 05 10:05:54 +0000 2020,1213763546506579968,@bytolinhaa @uesusj @piranhadogta Filha da puta,pt,0,0
Sun Jan 05 02:36:26 +0000 2020,1213650434952515585,Eu sempre https://t.co/zfHlJ63VT1,pt,0,1
Sun Jan 05 02:31:28 +0000 2020,1213649185452507138,@julianluiza Quando uma mulher idealiza algo é outra coisa ein,pt,0,1
Sun Jan 05 02:31:03 +0000 2020,1213649078984282112,@alarica_ Eu amo saber bastidores de produções e acho que esse foi incrível kkkki,pt,0,0
Sat Jan 04 19:46:09 +0000 2020,1213547183720583168,Fazendo a #prometida torta de abobrinha pra minha mamãe e titia 😍😍😍 pode crê que já eh especiaria da Palmirinha,pt,0,0
Sat Jan 04 19:11:55 +0000 2020,1213538568158797830,"""Não, é nacionalismo, o cara foi pra guerra defender os interesses da nação e por isso deve receber o amor e a glorificação do povo dos EUA""",pt,0,0
Sat Jan 04 19:05:08 +0000 2020,1213536858241679361,Amam babar pra bandeira e o sentimento nacionalista esbanja um ego de cair do peito. Os manos acham normal e LINDO trazer um mano amputado que ficou 2 anos guerreando no oriente para ver a família em um puta show na porra de um jogo. Isso não é glorificar morte e sofrimento?,pt,0,0
Sat Jan 04 19:01:56 +0000 2020,1213536054302650368,"_ Trump sofrendo processo de impeachment
_ Trump ataca um dos homens mais importantes do Irã 
_ O risco de uma guerra mundial aumenta
_ Estadunidenses (antes insatisfeitos) entram em êxtase e apoiam a decisão do presidente

Olha aqui, norte americano gosta de uma coisa: morte.",pt,0,2
Sat Jan 04 18:56:39 +0000 2020,1213534725308063756,@piranhadogta @mieiraviranda É uma brusinha amarelinha que vou usar como pseudo kimono tá ok,pt,0,0
Sat Jan 04 18:55:53 +0000 2020,1213534534098132995,"@mieiraviranda @piranhadogta Puts, pior que já tive uma quase assim quando pequena! Hahaha mas era uma espécie de Peter pan",pt,0,0
Sat Jan 04 18:54:54 +0000 2020,1213534284579065856,@r_becaaa @keepemoalivee Eu vi Hj no fb :o,pt,0,0
Sat Jan 04 18:54:32 +0000 2020,1213534191981355018,@mieiraviranda E melhor ainda quando você pega ela puro,pt,0,0
Sat Jan 04 18:06:27 +0000 2020,1213522090244104194,Mas ele pode,pt,0,0
Sat Jan 04 18:03:11 +0000 2020,1213521271402696704,Meu tio vem da puta que pariu da Bahia e me chama de RIPONGA pq eu escolhi uma roupinha diferente do que os outros escolheram,pt,0,0
Sat Jan 04 17:32:27 +0000 2020,1213513537387220992,"A novela ""amor de mãe"" só retrata realidade e eu posso provar: a cada uma encomenda de 3 que a minha mãe faz, uma sempre tem um papel de arroz brega com os membros da família kkkkk",pt,0,0
Sat Jan 04 03:35:38 +0000 2020,1213302943019130880,Lembrei kk,pt,0,0
Fri Jan 03 14:28:24 +0000 2020,1213104828118970368,@r_becaaa @keepemoalivee COMO ASSIM,pt,0,0
Thu Jan 02 12:35:41 +0000 2020,1212714076998193152,@lgmmoretto Q festa eh,es,0,0
Thu Jan 02 12:33:19 +0000 2020,1212713479561449473,@lgmmoretto Puts... Só os bancados por papai on,pt,0,0
Wed Jan 01 15:10:10 +0000 2020,1212390564571815937,@stocco_g Eu amei esse Gif kkkkk,pt,0,1
Tue Dec 31 17:48:57 +0000 2019,1212068135030939655,"@allorarafa Rafaela, você é uma goxxxtosas",pt,0,0
Tue Dec 31 04:10:18 +0000 2019,1211862118221406210,Indo rodar a bolsinha na Bela Jaú com as amigas que eu gosto https://t.co/UUHS9eyvT7,pt,0,5
Mon Dec 30 12:39:52 +0000 2019,1211627965517324289,O meteoro de tabaco é a famosa cinza kkk dialeto brasiliense tudo pra mim,pt,0,0
Mon Dec 30 12:38:59 +0000 2019,1211627743462473729,"""minha blusa está furada porque caiu meteoro de tabaco"" - VARELA, Rafaela 2019",pt,0,0
Mon Dec 30 00:05:25 +0000 2019,1211438101022879745,@variosberto Exatamente,pt,0,1
Sat Dec 28 22:27:23 +0000 2019,1211051044622491648,"@stocco_g Léo, vc eh lindo, mas a vila é gentrificada",pt,0,1
Sat Dec 28 22:26:31 +0000 2019,1211050824517988352,@stocco_g Latinha de Skol por 10 Reais?????,pt,0,0
Sat Dec 28 22:24:50 +0000 2019,1211050398993260544,@stocco_g Amado cerveja de 600 por 15 conto???? Isso é estorquir,pt,0,0
Sat Dec 28 16:15:15 +0000 2019,1210957393481351168,Eu odeio a Vila Madalena,pt,0,1
Sat Dec 28 01:53:41 +0000 2019,1210740573054758912,@piranhadogta Vila Mariana,es,0,0
Fri Dec 27 20:19:59 +0000 2019,1210656592879915014,@piranhadogta Amigo estamos em sp uia,pt,0,0
Fri Dec 27 09:36:17 +0000 2019,1210494599782907906,@stocco_g Kkkkkkkkkk,und,0,1
Fri Dec 27 09:35:26 +0000 2019,1210494386796138498,@ohsilvestri Vai toma no cu,lv,0,1
Thu Dec 26 18:13:41 +0000 2019,1210262419433496578,@bytolinhaa Mesmo com a ração nova?,pt,0,0
Thu Dec 26 15:02:56 +0000 2019,1210214418283409408,Essa foto da Nina Magnólia é tudo pra mim https://t.co/i2iMBgvo1g,pt,0,6
Thu Dec 26 14:21:04 +0000 2019,1210203882091163657,@boostinha Vc eh um engenheiro,pt,0,1
Thu Dec 26 12:53:29 +0000 2019,1210181841585614849,"@stocco_g Jabuticaba, tudo pros brasileiros",pt,0,1
Thu Dec 26 12:51:54 +0000 2019,1210181441323225088,@mieiraviranda SIMMMM,und,0,0
Wed Dec 25 22:33:47 +0000 2019,1209965488048087040,Minha família inteira assistiu bacurau kk amooo,pt,0,2
Wed Dec 25 15:24:51 +0000 2019,1209857547194249219,@thaimcorrea Isso não eh aquele negócio q as blogueira passam na cara,pt,0,0
Wed Dec 25 15:17:52 +0000 2019,1209855787528544264,"@piranhadogta Sim, bicho e antes do Natal. Não era uma xaiomi, é um sem marca e bem mais simples, mas funcionaaa",pt,0,0
Wed Dec 25 14:03:52 +0000 2019,1209837165221498880,"Em novembro, meu pai comprou um celular (com o frete já) de 200 reais no wish para a minha irmã. O celular chegou no dia 24 de dezembro. China, você é estranha.",pt,0,4
Wed Dec 25 02:56:40 +0000 2019,1209669256612327424,"@piranhadogta Eu adorei, pare",pt,0,0
Tue Dec 24 19:02:06 +0000 2019,1209549830797836291,@_vitorsoares__ Uso óculos de armações finas e levinhas,pt,0,1
Tue Dec 24 18:24:53 +0000 2019,1209540464547946496,@cravocanelae Eu indo visitar uma amiga que morei por mais de um ano kkkk,pt,0,1
Tue Dec 24 18:23:17 +0000 2019,1209540060783230976,@piranhadogta @pdrmuriel @bytolinhaa Irraaaaa,eu,0,0
Tue Dec 24 14:33:01 +0000 2019,1209482113961082883,"Agenda setting, agenda setting 🎶🎶",en,0,0
Tue Dec 24 13:40:19 +0000 2019,1209468849621475330,@lilicarepiloc Lilian...,in,0,0
Tue Dec 24 13:39:14 +0000 2019,1209468578644340737,@r_becaaa Vamo fazer uma macumba já,pt,0,1
Mon Dec 23 00:49:31 +0000 2019,1208912485023125504,@Kimcorrea06 Eu tô em Tatuí,pt,0,1
Sun Dec 22 23:02:50 +0000 2019,1208885634993184768,"@bytolinhaa Eu sei, ahhh como sei",pt,0,0
Sun Dec 22 22:21:00 +0000 2019,1208875111245393921,"@bytolinhaa Ou não, se você explicar para ela que ela ficaria sozinha em casa....",pt,0,0
Sun Dec 22 22:20:37 +0000 2019,1208875012125528075,@bytolinhaa Pode ser que sim,pt,0,0
Sun Dec 22 22:19:40 +0000 2019,1208874775717781507,"Ontem foi: Tatuí, Cerquilho e Tietê. Hoje será: Sorocaba. Amooooo o natal e meus pais também 😍😍😍",pt,0,2
Sun Dec 22 22:18:52 +0000 2019,1208874570859585536,Tenha uma quadrilha nuclear que: faz tour pelas cidades do interior avaliando decorações natalinas,pt,0,2
Sat Dec 21 22:54:47 +0000 2019,1208521222851616774,A foto do Ira criança é tudo pra mim  😍😍😍,pt,0,0
Sat Dec 21 21:37:16 +0000 2019,1208501715328274433,@bytolinhaa Melissa vc me prometeu,pt,0,0
Sat Dec 21 21:36:53 +0000 2019,1208501618091724800,"Eu vou contar uma história triste pra vocês: queria assistir bacurau com a minha mãe, mas ela não quer. Fim.",pt,0,4
Sat Dec 21 16:03:13 +0000 2019,1208417647630700544,@r_becaaa De onde eu estagio? Não :(,pt,0,0
Sat Dec 21 12:05:41 +0000 2019,1208357869814460416,"Eu falando para minha mãe sobre o que eu faço na minha nova equipe e acabei descobrindo que ela é uma grande leitora de fanfics aaaaaaaaa meu trabalho não é em vão (talvez seja um pouco, já que ninguém compra mais revista 😓😓😓)",pt,0,5
Sat Dec 21 12:00:10 +0000 2019,1208356482900779008,"@mieiraviranda Sim, tô curtindo muito, recomendo super",pt,0,1
